"";"title";"author";"journal";"number";"cites";"year";"cid";"pubid"
"101";"Two-dimensional reference map of the mycelial proteome and mitochondrial sub-proteome of Aspergillus fumigatus";"M Voedisch, O Kniemeyer, D Albrecht, F Lessing, R Winkler, A Brakhage";"Mycoses";"51 (5), 422-422";1;2008;"5408869061965754843";"-f6ydRqryjwC"
"102";"Monitoring phosphatase reactions of multiple phosphorylated substrates by reversed-phase HPLC";"K Teichmann, R Winkler, K Hampel, A Trümpler, FD Böhmer, D Imhof";"Journal of Chromatography B";"853 (1-2), 204-213";1;2007;"9937544246910345979";"kNdYIx-mwKoC"
"103";"Novel UV filters from Pentacalia pulchella extracts with photoprotective properties and antioxidant activity";"JC Mejía-Giraldo, R Winkler, M Puertas-Mejía";"Photochemical & Photobiological Sciences";"20 (12), 1585-1597";0;2021;NA;"EYYDruWGBe4C"
"104";"Metabolic response to larval herbivory in three Physalis species";"V Trujillo-Pahua, O Vargas-Ponce, FA Rodríguez-Zaragoza, ...";"Plant Signaling & Behavior";"1962050";0;2021;NA;"BwyfMAYsbu0C"
"105";"Evaluation of Metabolomic Profile and Growth of Moringa oleifera L. Cultivated with Vermicompost under Different Soil Types";"LA Manzano-Gómez, JM Guzmán-Albores, R Rincón-Rosales, R Winkler, ...";"Agronomy";"11 (10), 2061";0;2021;NA;"vbGhcppDl1QC"
"106";"Protein extract of Bromelia karatas L. rich in cysteine proteases (ananain-and bromelain-like) has antibacterial activity against foodborne pathogens Listeria monocytogenes and …";"E Ávalos-Flores, LM López-Castillo, N Wielsch, Y Hupfer, R Winkler, ...";"Folia Microbiologica";"1-13";0;2021;NA;"4MWp96NkSFoC"
"107";"Contrast optimization of mass spectrometry imaging (MSI) data visualization by threshold intensity quantization (TrIQ)";"I Rosas-Román, R Winkler";"PeerJ Computer Science";"7 (e585), 1-16";0;2021;NA;"URolC5Kub84C"
"108";"Target-Decoy MineR for determining the biological relevance of variables in noisy data sets";"C Ovando-Vázquez, D Cázarez-García, R Winkler";"Bioinformatics";"369, 1-9";0;2021;NA;"Z5m8FVwuT1cC"
"109";"Mobims: A Modular Miniature Mass Analyzer for the Real-Time Monitoring of Gases and Volatile Compounds in Biological Systems";"R Alcalde-Vázquez, A Moreno-Pedraza, I Rosas-Román, ...";"Available at SSRN";"3950169";0;2021;NA;"L7CI7m0gUJcC"
"110";"Antifungal activity of root extracts from Baccharis salicina on germination of uredospores of Hemileia vastatrix";"A Lam-Gutiérrez, R Rincón-Rosales, FA Gutiérrez-Miceli, BA Peña-Ocaña, ...";"International Journal of Agriculture and Biology";"25 (5), 1075-1084";0;2021;NA;"ML0RJ9NH7IQC"
"111";"Featured articles";"H Guillén-Alonso, I Rosas-Román, R Winkler, H Zhong, Y Li, Y Huang, ...";"Analytical Methods";"13, 884";0;2021;NA;"EkHepimYqZsC"
"112";"Concluding Remarks and Perspectives";"R Winkler";"Processing Metabolomics and Proteomics Data with Open Software";"427-430";0;2020;NA;"JQOojiI6XY0C"
"113";"Pre-processing and Analysis of Metabolomics Data with XCMS/R and XCMS Online";"LP Partida-Martínez, R Winkler";"Processing Metabolomics and Proteomics Data with Open Software";"255-280";0;2020;NA;"UHK10RUVsp4C"
"114";"MASSyPup64: Linux Live System for Mass Spectrometry Data Processing";"R Winkler";"Processing Metabolomics and Proteomics Data with Open Software";"406-414";0;2020;NA;"dQ2og3OwTAUC"
"115";"Part A General Section";"R Winkler";"";"";0;2020;NA;"j8SEvjWlNXcC"
"116";"Low-Temperature Plasma Ionization of Lipids";"R Winkler";"Encyclopedia of Lipidomics";"";0;2019;NA;"WqliGbK-hY8C"
"117";"Las moléculas de la vida: su importancia y tecnologías innovadoras para estudiarlas";"R Winkler";"";"";0;2016;NA;"u9iWguZQMMsC"
"118";"Identificación de carbohidratos simples en jugo de tallo de maíz utilizando DIESI y un analizador de trampa lineal en MS";"MG Flores, R Winkler, GMLR Aguilar, A Tiessen";"Ciencia y Tecnol. Agrop. México";"3 (2), 30-37";0;2015;NA;"rO6llkc54NcC"
"119";"Biosynthese von Nitroverbindungen: Studie der N-Oxygenase AurF";"R Winkler";"Südwestdeutscher Verlag für Hochschulschriften";"";0;2013;NA;"_Qo2XoVZTnwC"
"120";"SERUM PROTEOMIC PROFILE IN PATIENTS INVOLVED BY DIFFUSE LARGE B CELL LYMPHOMA (PRELIMINAR REPORT)";"L Villela, R Winkler, S Scott, O Fajardo, Y Perfecto, J Bolanos, M Gutierrez, ...";"HAEMATOLOGICA";"97, 647-648";0;2012;NA;"PR6Y55bgFSsC"
"121";"Accelerated Identification of Proteins by Mass Spectrometry by Employing Covalent Pre-Gel Staining with Uniblue A";"R Winkler, MA Mata-Gomez, S Valdes-Rodrıguez, MT Yasui, ...";"";"";0;2012;NA;"yB1At4FlUx8C"
"122";"Data files for: Communication to Molecular BioSystems. Evaluating the physiological state of maize (Zea mays L.) plants by direct-injection electrospray mass spectrometry …";"M García-Flores, S Juárez-Colunga, JM Montero-Vargas, ...";"PANGAEA";"";0;2012;NA;"zLWjf1WUPmwC"
"123";"Data files for: The use of metabolic heat maps for evaluating the chemical profiles of multiple tea and coffee leaf extracts";"JM Montero-Vargas, LH González-González, E Galvez-Ponce, ...";"PANGAEA";"";0;2012;NA;"XD-gHx7UXLsC"
"124";"Accelerated Identification of Proteins by Mass Spectrometry by";"MA Mata-Gómez, MT Yasui, A Guerrero-Rangel, S Valdés-Rodrıguez, ...";"";"";0;2012;NA;"hkOj_22Ku90C"
"125";"Covalent Modification Of Proteins For The Instantaneous Visualisation Thereof And Subsequent Characterisation Through Mass Spectrometry";"R WINKLER, MA MATA GÓMEZ, MT YASUI, ...";"WO Patent";"2,011,071,359";0;2011;NA;"8k81kl-MbHgC"
"126";"Rapid pre-gel visualization of proteins with mass spectrometry compatibility";"M Mata-Gomez, M Yasui, R Winkler";"Nature Precedings";"1-1";0;2010;NA;"LkGwnXOMwfcC"
"127";"The tyrosine degradation pathway in Aspergillus fumigatus leads to pyomelanin, a second type of melanin";"J Schmaler-Ripcke, V Sugareva, P Gebhardt, R Winkler, O Kniemeyer, ...";"Applied and Environmental Microbiology";"";0;2008;NA;"uWiczbcajpAC"
"128";"Secretome analysis of the human pathogen Aspergillus fumigatus: P52";"D Wartenberg, O Kniemeyer, E Shelest, T Heinekamp, J Teutschbein, ...";"Mycoses";"51 (5), 435-436";0;2008;NA;"hC7cP41nSMkC"
"129";"In-vitro analysis of proteins secreted by Arthroderma benhamiae";"C Heddergott, O Kniemeyer, R Winkler, J Woestemeyer, A Brakhage";"MYCOSES";"51 (5), 408-409";0;2008;NA;"IWHjjKOFINEC"
"130";"Biosynthese von Nitroverbindungen";"R Winkler";"BIOSPEKTRUM-HEIDELBERG-";"14 (4), 434";0;2008;NA;"5nxA0vEk-isC"
"131";"J. Peptide Res. J. Peptide Res. 53, 161, 1999";"K TEICHMANN, R WINKLER, K HAMPEL, A TRUMPLER, FD BOHMER, ...";"Journal of chromatography. B, Analytical technologies in the biomedical and …";"";0;2007;NA;"AXPGKjj_ei8C"
"132";"J. Peptide Sci. J. Peptide Sci. 11, 390, 2005";"K TEICHMANN, R WINKLER, K HAMPEL, A TRUMPLER, FD BOHMER, ...";"Journal of chromatography. B, Analytical technologies in the biomedical and …";"";0;2007;NA;"Mojj43d5GZwC"
"133";"Topics in Current Genetics 301, 2004";"K TEICHMANN, R WINKLER, K HAMPEL, A TRUMPLER, FD BOHMER, ...";"Journal of chromatography. B, Analytical technologies in the biomedical and …";"";0;2007;NA;"WA5NYHcadZ8C"
"134";"Adv. Enzymol. Adv. Enzymol. 68, 1, 1994";"K TEICHMANN, R WINKLER, K HAMPEL, A TRUMPLER, FD BOHMER, ...";"Journal of chromatography. B, Analytical technologies in the biomedical and …";"";0;2007;NA;"XiSMed-E-HIC"
"135";"Biosynthese von Nitroverbindungen: Charakterisierung der ungewöhnlichen Mangan-abhängigen N-Oxygenase AurF";"R Winkler";"";"";0;2007;NA;"roLk4NBRz8UC"
"136";"M. en C. Hugo Gerardo Lazcano Ramírez";"R Winkler, LJD Arredondo, VML Vargas";"";"";0;NA;NA;"vDijr-p_gm4C"
"137";"BQP-110 ANALYSIS OF BIOMOLECULES WITH MASS SPECTROMETRY USING LOW TEMPERATURE PLASMA AS A NEW IONIZATION SOURCE";"S Martínez-Jarquín, R Winkler";"MIXIM";"10";0;NA;NA;"ipzZ9siozwsC"
"138";"Analysis of the spacial distribution of hydrocarbons in Botryococcus braunii using Mass Spectrometry Imaging";"A Moreno-Pedraza, I Cornejo-Corona, E Lozoya-Gloria, R Winkler";"";"";0;NA;NA;"0KyAp5RtaNEC"
"139";"FAO-26 RAPID AND COST-EFFICIENT METABOLIC PHENOTYPING OF PLANTS BY DIRECT MASS-SPECTROMETRY APPROACHES";"R Winkler";"MIXIM";"8";0;NA;NA;"nrtMV_XWKgEC"
"140";"Early selection of coffee (C. canephora) plants with desirable cup quality traits by a novel metabolomics approach";"RG Becerra, R Winkler";"";"";0;NA;NA;"t7zJ5fGR-2UC"
